un_no,psn,haz_class,sub_class,pg,nos,symbols
UN3405,"Barium chlorate, solution",5.1,6.1,III,N,
UN1564,"Barium compounds, n.o.s",6.1,,II,Y,G
UN1564,"Barium compounds, n.o.s",6.1,,III,Y,G
UN1565,Barium cyanide,6.1,,I,N,
UN2741,Barium hypochlorite with more than 22 percent available chlorine,5.1,6.1,II,N,
UN1446,Barium nitrate,5.1,6.1,II,N,
UN1884,Barium oxide,6.1,,III,N,
UN1447,"Barium perchlorate, solid",5.1,6.1,II,N,
UN3406,"Barium perchlorate, solution",5.1,6.1,II,N,
UN3406,"Barium perchlorate, solution",5.1,6.1,III,N,
UN1448,Barium permanganate,5.1,6.1,II,N,
UN1449,Barium peroxide,5.1,6.1,II,N,
UN3292,"Batteries, containing sodium",4.3,,,N,
UN3028,"Batteries, dry, containing potassium hydroxide solid, electric storage",8,,,N,
UN3496,"Batteries, nickel-metal hydride see Batteries, dry, sealed, n.o.s. for nickel-metal hydride batteries transported by modes other than vessel",9,,,Y,W
UN2794,"Batteries, wet, filled with acid, electric storage",8,,,N,
UN2795,"Batteries, wet, filled with alkali, electric storage",8,,,N,
UN2800,"Batteries, wet, non-spillable, electric storage",8,,,N,
UN2796,"Battery fluid, acid",8,,II,N,
UN2797,"Battery fluid, alkali",8,,II,N,
UN3171,Battery-powered vehicle or Battery-powered equipment,9,,,N,
UN1990,Benzaldehyde,9,,III,N,+
UN1114,Benzene,3,,II,N,
UN2225,Benzene sulfonyl chloride,8,,III,N,
UN1885,Benzidine,6.1,,II,N,
UN2224,Benzonitrile,6.1,,II,N,
UN2587,Benzoquinone,6.1,,II,N,
UN2226,Benzotrichloride,8,,II,N,
UN2338,Benzotrifluoride,3,,II,N,
UN1736,Benzoyl chloride,8,,II,N,
UN1737,Benzyl bromide,6.1,8,II,N,
UN1738,Benzyl chloride,6.1,8,II,N,
UN1738,Benzyl chloride unstabilized,6.1,8,II,N,
UN1739,Benzyl chloroformate,8,,I,N,
UN2653,Benzyl iodide,6.1,,II,N,
UN2619,Benzyldimethylamine,8,3,II,N,
UN1886,Benzylidene chloride,6.1,,II,N,
UN1566,"Beryllium compounds, n.o.s",6.1,,II,Y,G
UN1566,"Beryllium compounds, n.o.s",6.1,,III,Y,G
UN2464,Beryllium nitrate,5.1,6.1,II,N,
UN1567,"Beryllium, powder",6.1,4.1,II,N,
UN2251,"Bicyclo [2,2,1] hepta-2,5-diene, stabilized or 2,5-Norbornadiene, stabilized",3,,II,N,
UN3373,"Biological substance, Category B",6.2,,,N,
