un_no,psn,haz_class,sub_class,pg,nos,symbols
UN1918,Isopropylbenzene,3,,III,N,
UN2907,"Isosorbide dinitrate mixture with not less than 60 percent lactose, mannose, starch or calcium hydrogen phosphate",4.1,,II,N,
UN3251,Isosorbide-5-mononitrate,4.1,,III,N,
NA0124,"Jet perforating guns, charged oil well with detonator",1.1D,,,N,D
NA0494,"Jet perforating guns, charged oil well, with detonator",1.4D,,,N,D
UN0494,"Jet perforating guns, charged, oil well, without detonator",1.4D,,,N,
UN0124,"Jet perforating guns, charged oil well without detonator",1.1D,,,N,
UN1223,Kerosene,3,,III,N,
UN1224,"Ketones, liquid, n.o.s.",3,,I,Y,G
UN1224,"Ketones, liquid, n.o.s.",3,,II,Y,G
UN1224,"Ketones, liquid, n.o.s.",3,,III,Y,G
UN3497,Krill meal,4.2,,II,N,
UN3497,Krill meal,4.2,,III,N,
UN1056,"Krypton, compressed",2.2,,,N,
UN1970,"Krypton, refrigerated liquid (cryogenic liquid)",2.2,,,N,
UN1616,Lead acetate,6.1,,III,N,
UN1617,Lead arsenates,6.1,,II,N,
UN1618,Lead arsenites,6.1,,II,N,
UN0129,"Lead azide, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",1.1A,,,N,
UN2291,"Lead compounds, soluble, n.o.s",6.1,,III,Y,G
UN1620,Lead cyanide,6.1,,II,N,
UN1872,Lead dioxide,5.1,,III,N,
UN1469,Lead nitrate,5.1,6.1,II,N,
UN1470,"Lead perchlorate, solid",5.1,6.1,II,N,
UN3408,"Lead perchlorate, solution",5.1,6.1,II,N,
UN3408,"Lead perchlorate, solution",5.1,6.1,III,N,
UN2989,"Lead phosphite, dibasic",4.1,,II,N,
UN2989,"Lead phosphite, dibasic",4.1,,III,N,
UN0130,"Lead styphnate, wetted or Lead trinitroresorcinate, wetted with not less than 20 percent water or mixture of alcohol and water, by mass",1.1A,,,N,
UN1794,Lead sulfate with more than 3 percent free acid,8,,II,N,
UN3072,"Life-saving appliances, not self inflating containing dangerous goods as equipment",9,,,N,
UN2990,"Life-saving appliances, self inflating",9,,,N,
UN1057,Lighters containing flammable gas,2.1,,,N,
NA1057,"Lighters, non-pressurized, containing flammable liquid,",3,,II,N,
UN1057,Lighter refills containing flammable gas not exceeding 4 fluid ounces (7.22 cubic inches) and 65 grams of flammable gas,2.1,,,N,
UN0131,"Lighters, fuse",1.4S,,,N,
UN3161,"Liquefied gas, flammable, n.o.s.",2.1,,,Y,G
UN3163,"Liquefied gas, n.o.s.",2.2,,,Y,G
UN3157,"Liquefied gas, oxidizing, n.o.s.",2.2,5.1,,Y,G
UN3308,"Liquefied gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,8,,Y,G I
UN3308,"Liquefied gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,8,,Y,G I
UN3308,"Liquefied gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,8,,Y,G I
UN3308,"Liquefied gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,8,,Y,G I
UN3309,"Liquefied gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,"2.1,8",,Y,G I
UN3309,"Liquefied gas toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,"2.1,8",,Y,G I
UN3309,"Liquefied gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,"2.1,8",,Y,G I
UN3309,"Liquefied gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,"2.1,8",,Y,G I
UN3160,"Liquefied gas, toxic, flammable, n.o.s. Inhalation Hazard Zone A",2.3,2.1,,Y,G
UN3160,"Liquefied gas, toxic, flammable, n.o.s. Inhalation Hazard Zone B",2.3,2.1,,Y,G
UN3160,"Liquefied gas, toxic, flammable, n.o.s. Inhalation Hazard Zone C",2.3,2.1,,Y,G
UN3160,"Liquefied gas, toxic, flammable, n.o.s. Inhalation Hazard Zone D",2.3,2.1,,Y,G
UN3162,"Liquefied gas, toxic, n.o.s. Inhalation Hazard Zone A",2.3,,,Y,G
UN3162,"Liquefied gas, toxic, n.o.s. Inhalation Hazard Zone B",2.3,,,Y,G
UN3162,"Liquefied gas, toxic, n.o.s. Inhalation Hazard Zone C",2.3,,,Y,G
UN3162,"Liquefied gas, toxic, n.o.s. Inhalation Hazard Zone D",2.3,,,Y,G
UN3310,"Liquefied gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,"5.1,8",,Y,G I
UN3310,"Liquefied gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,"5.1,8",,Y,G I
UN3310,"Liquefied gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,"5.1,8",,Y,G I
UN3310,"Liquefied gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,"5.1,8",,Y,G I
UN3307,"Liquefied gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone A",2.3,5.1,,Y,G
UN3307,"Liquefied gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone B",2.3,5.1,,Y,G
UN3307,"Liquefied gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone C",2.3,5.1,,Y,G
UN3307,"Liquefied gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone D",2.3,5.1,,Y,G
UN1058,"Liquefied gases, non-flammable charged with nitrogen, carbon dioxide or air",2.2,,,N,
UN1415,Lithium,4.3,,I,N,
UN1410,Lithium aluminum hydride,4.3,,I,N,
UN1411,"Lithium aluminum hydride, ethereal",4.3,3,I,N,
UN3536,Lithium batteries installed in cargo transport unit lithium ion batteries or lithium metal batteries,9,,,N,
UN1413,Lithium borohydride,4.3,,I,N,
UN2830,Lithium ferrosilicon,4.3,,II,N,
UN1414,Lithium hydride,4.3,,I,N,
UN2805,"Lithium hydride, fused solid",4.3,,II,N,
UN2680,Lithium hydroxide,8,,II,N,
UN2679,"Lithium hydroxide, solution",8,,II,N,
UN2679,"Lithium hydroxide, solution",8,,III,N,
UN1471,"Lithium hypochlorite, dry or Lithium hypochlorite mixture",5.1,,II,N,
UN1471,"Lithium hypochlorite, dry or Lithium hypochlorite mixture",5.1,,III,N,
UN3480,Lithium ion batteries including lithium ion polymer batteries,9,,,N,
UN3481,Lithium ion batteries contained in equipment including lithium ion polymer batteries,9,,,N,
UN3481,Lithium ion batteries packed with equipment including lithium ion polymer batteries,9,,,N,
UN3090,Lithium metal batteries including lithium alloy batteries,9,,,N,
UN3091,Lithium metal batteries contained in equipment including lithium alloy batteries,9,,,N,
UN3091,Lithium metal batteries packed with equipment including lithium alloy batteries,9,,,N,
UN2722,Lithium nitrate,5.1,,III,N,
UN2806,Lithium nitride,4.3,,I,N,
UN1472,Lithium peroxide,5.1,,II,N,
UN1417,Lithium silicon,4.3,,II,N,
UN1621,London purple,6.1,,II,N,
UN1419,Magnesium aluminum phosphide,4.3,6.1,I,N,
UN1622,Magnesium arsenate,6.1,,II,N,+
UN1473,Magnesium bromate,5.1,,II,N,
UN2723,Magnesium chlorate,5.1,,II,N,
UN2004,Magnesium diamide,4.2,,II,N,
UN2853,Magnesium fluorosilicate,6.1,,III,N,
UN2950,"Magnesium granules, coated, particle size not less than 149 microns",4.3,,III,N,
UN2010,Magnesium hydride,4.3,,I,N,
UN1869,"Magnesium or Magnesium alloys with more than 50 percent magnesium in pellets, turnings or ribbons",4.1,,III,N,
UN1474,Magnesium nitrate,5.1,,III,N,
UN1475,Magnesium perchlorate,5.1,,II,N,
UN1476,Magnesium peroxide,5.1,,II,N,
UN2011,Magnesium phosphide,4.3,6.1,I,N,
UN1418,"Magnesium, powder or Magnesium alloys, powder",4.3,4.2,I,N,
UN1418,"Magnesium, powder or Magnesium alloys, powder",4.3,4.2,II,N,
UN1418,"Magnesium, powder or Magnesium alloys, powder",4.3,4.2,III,N,
UN2624,Magnesium silicide,4.3,,II,N,
UN2215,Maleic anhydride,8,,III,N,
UN2215,"Maleic anhydride, molten",8,,III,N,
UN2647,Malononitrile,6.1,,II,N,
UN2210,Maneb or Maneb preparations with not less than 60 percent maneb,4.2,4.3,III,N,
UN2968,"Maneb stabilized or Maneb preparations, stabilized against self-heating",4.3,,III,N,
UN2724,Manganese nitrate,5.1,,III,N,
UN1330,Manganese resinate,4.1,,III,N,
UN0133,"Mannitol hexanitrate, wetted or Nitromannite, wetted with not less than 40 percent water, or mixture of alcohol and water, by mass",1.1D,,,N,
UN2254,"Matches, fusee",4.1,,III,N,
UN1944,"Matches, safety (book, card or strike on box)",4.1,,III,N,
UN1331,"Matches, strike anywhere",4.1,,III,N,
UN1945,"Matches, wax, Vesta",4.1,,III,N,
UN3549,"Medical waste, category A, affecting humans, solid or Medical waste, category A, affecting animals only, solid",6.2,,,N,
UN3248,"Medicine, liquid, flammable, toxic, n.o.s",3,6.1,II,Y,
UN3248,"Medicine, liquid, flammable, toxic, n.o.s",3,6.1,III,Y,
UN1851,"Medicine, liquid, toxic, n.o.s",6.1,,II,Y,
UN1851,"Medicine, liquid, toxic, n.o.s",6.1,,III,Y,
UN3249,"Medicine, solid, toxic, n.o.s",6.1,,II,Y,
UN3249,"Medicine, solid, toxic, n.o.s",6.1,,III,Y,
UN3336,"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s",3,,I,Y,
UN3336,"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s",3,,II,Y,
UN3336,"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s",3,,III,Y,
UN1228,"Mercaptans, liquid, flammable, toxic, n.o.s. or Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",3,6.1,II,Y,
UN1228,"Mercaptans, liquid, flammable, toxic, n.o.s. or Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",3,6.1,III,Y,
UN3071,"Mercaptans, liquid, toxic, flammable, n.o.s. or Mercaptan mixtures, liquid, toxic, flammable, n.o.s., flash point not less than 23 degrees C",6.1,3,II,Y,
UN0448,5-Mercaptotetrazol-1-acetic acid,1.4C,,,N,
UN1623,Mercuric arsenate,6.1,,II,N,
UN1624,Mercuric chloride,6.1,,II,N,
UN1625,Mercuric nitrate,6.1,,II,N,
UN1626,Mercuric potassium cyanide,6.1,,I,N,+
UN1627,Mercurous nitrate,6.1,,II,N,
UN2809,Mercury,8,6.1,III,N,A W
UN1629,Mercury acetate,6.1,,II,N,
UN1630,Mercury ammonium chloride,6.1,,II,N,
UN2778,"Mercury based pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN2778,"Mercury based pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN3012,"Mercury based pesticides, liquid, toxic",6.1,,I,N,
UN3012,"Mercury based pesticides, liquid, toxic",6.1,,II,N,
UN3012,"Mercury based pesticides, liquid, toxic",6.1,,III,N,
UN3011,"Mercury based pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN3011,"Mercury based pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN3011,"Mercury based pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN2777,"Mercury based pesticides, solid, toxic",6.1,,I,N,
UN2777,"Mercury based pesticides, solid, toxic",6.1,,II,N,
UN2777,"Mercury based pesticides, solid, toxic",6.1,,III,N,
UN1631,Mercury benzoate,6.1,,II,N,
UN1634,Mercury bromides,6.1,,II,N,
UN2024,"Mercury compound, liquid, n.o.s",6.1,,I,Y,G
UN2024,"Mercury compound, liquid, n.o.s",6.1,,II,Y,G
UN2024,"Mercury compound, liquid, n.o.s",6.1,,III,Y,G
UN2025,"Mercury compound, solid, n.o.s",6.1,,I,Y,G
UN2025,"Mercury compound, solid, n.o.s",6.1,,II,Y,G
UN2025,"Mercury compound, solid, n.o.s",6.1,,III,Y,G
UN3506,Mercury contained in manufactured articles,8,6.1,,N,A W
UN1636,Mercury cyanide,6.1,,II,N,
UN0135,"Mercury fulminate, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass",1.1A,,,N,
UN1637,Mercury gluconate,6.1,,II,N,
UN1638,Mercury iodide,6.1,,II,N,
UN1639,Mercury nucleate,6.1,,II,N,
UN1640,Mercury oleate,6.1,,II,N,
UN1641,Mercury oxide,6.1,,II,N,
UN1642,"Mercury oxycyanide, desensitized",6.1,,II,N,
UN1643,Mercury potassium iodide,6.1,,II,N,
UN1644,Mercury salicylate,6.1,,II,N,
UN1645,Mercury sulfates,6.1,,II,N,+
UN1646,Mercury thiocyanate,6.1,,II,N,
UN1229,Mesityl oxide,3,,III,N,
UN3281,"Metal carbonyls, liquid, n.o.s.",6.1,,I,Y,G
UN3281,"Metal carbonyls, liquid, n.o.s.",6.1,,II,Y,G
UN3281,"Metal carbonyls, liquid, n.o.s.",6.1,,III,Y,G
UN3466,"Metal carbonyls, solid, n.o.s.",6.1,,I,Y,G
UN3466,"Metal carbonyls, solid, n.o.s.",6.1,,II,Y,G
UN3466,"Metal carbonyls, solid, n.o.s.",6.1,,III,Y,G
UN2881,"Metal catalyst, dry",4.2,,I,N,G
UN2881,"Metal catalyst, dry",4.2,,II,N,G
UN2881,"Metal catalyst, dry",4.2,,III,N,G
UN1378,"Metal catalyst, wetted with a visible excess of liquid",4.2,,II,N,G
UN3182,"Metal hydrides, flammable, n.o.s",4.1,,II,Y,
UN3182,"Metal hydrides, flammable, n.o.s",4.1,,III,Y,
UN1409,"Metal hydrides, water reactive, n.o.s",4.3,,I,Y,G
UN1409,"Metal hydrides, water reactive, n.o.s",4.3,,II,Y,G
UN3189,"Metal powder, self-heating, n.o.s",4.2,,II,Y,
UN3189,"Metal powder, self-heating, n.o.s",4.2,,III,Y,
UN3089,"Metal powders, flammable, n.o.s",4.1,,II,Y,
UN3089,"Metal powders, flammable, n.o.s",4.1,,III,Y,
UN3181,"Metal salts of organic compounds, flammable, n.o.s",4.1,,II,Y,G
UN3181,"Metal salts of organic compounds, flammable, n.o.s",4.1,,III,Y,G
UN3181,"Metal salts of organic compounds, flammable, n.o.s",4.1,,III,Y,G
UN1332,Metaldehyde,4.1,,III,N,
UN3208,"Metallic substance, water-reactive, n.o.s",4.3,,I,Y,G
UN3208,"Metallic substance, water-reactive, n.o.s",4.3,,II,Y,G
UN3208,"Metallic substance, water-reactive, n.o.s",4.3,,III,Y,G
UN3209,"Metallic substance, water-reactive, self-heating, n.o.s",4.3,4.2,I,Y,G
UN3209,"Metallic substance, water-reactive, self-heating, n.o.s",4.3,4.2,II,Y,G
UN3209,"Metallic substance, water-reactive, self-heating, n.o.s",4.3,4.2,III,Y,G
UN2396,"Methacrylaldehyde, stabilized",3,6.1,II,N,
UN2531,"Methacrylic acid, stabilized",8,,II,N,
UN3079,"Methacrylonitrile, stabilized",6.1,3,I,N,+
UN2614,Methallyl alcohol,3,,III,N,
UN1971,"Methane, compressed or Natural gas, compressed (with high methane content)",2.1,,,N,
UN1972,"Methane, refrigerated liquid (cryogenic liquid) or Natural gas, refrigerated liquid (cryogenic liquid, with high methane content)",2.1,,,N,
UN3246,Methanesulfonyl chloride,6.1,8,I,N,
UN1230,Methanol,3,6.1,II,N,+ I
UN1230,Methanol,3,,II,N,D
UN2293,4-Methoxy-4-methylpentan-2-one,3,,III,N,
UN3092,1-Methoxy-2-propanol,3,,III,N,
UN2605,Methoxymethyl isocyanate,6.1,3,I,N,+
UN1231,Methyl acetate,3,,II,N,
UN1060,"Methyl acetylene and propadiene mixtures, stabilized",2.1,,,N,
UN1919,"Methyl acrylate, stabilized",3,,II,N,
UN2554,Methyl allyl chloride,3,,II,N,
UN1062,Methyl bromide,2.3,,,N,
UN1647,"Methyl bromide and ethylene dibromide mixtures, liquid",6.1,,I,N,
UN2643,Methyl bromoacetate,6.1,,II,N,
UN3371,2-Methylbutanal,3,,II,N,
UN2459,2-Methyl-1-butene,3,,I,N,
UN2460,2-Methyl-2-butene,3,,II,N,
UN2561,3-Methyl-1-butene,3,,I,N,
UN2398,Methyl tert-butyl ether,3,,II,N,
UN1237,Methyl butyrate,3,,II,N,
UN1063,Methyl chloride or Refrigerant gas R 40,2.1,,,N,
UN1912,Methyl chloride and methylene chloride mixtures,2.1,,,N,
UN2295,Methyl chloroacetate,6.1,3,I,N,
UN1238,Methyl chloroformate,6.1,"3,8",I,N,
UN1239,Methyl chloromethyl ether,6.1,3,I,N,
UN2933,Methyl 2-chloropropionate,3,,III,N,
UN2299,Methyl dichloroacetate,6.1,,III,N,
UN2300,2-Methyl-5-ethylpyridine,6.1,,III,N,
UN2454,"Methyl fluoride, or Refrigerant gas R 41",2.1,,,N,
UN1243,Methyl formate,3,,I,N,
UN3023,2-Methyl-2-heptanethiol,6.1,3,I,N,
UN2644,Methyl iodide,6.1,,I,N,
UN2053,Methyl isobutyl carbinol,3,,III,N,
UN1245,Methyl isobutyl ketone,3,,II,N,
UN2480,Methyl isocyanate,6.1,3,I,N,
UN1246,"Methyl isopropenyl ketone, stabilized",3,,II,N,
UN2477,Methyl isothiocyanate,6.1,3,I,N,
UN2400,Methyl isovalerate,3,,II,N,
UN1928,"Methyl magnesium bromide, in ethyl ether",4.3,3,I,N,
UN1064,Methyl mercaptan,2.3,2.1,,N,
UN1247,"Methyl methacrylate monomer, stabilized",3,,II,N,
UN2606,Methyl orthosilicate,6.1,3,I,N,
NA9206,Methyl phosphonic dichloride,6.1,8,I,N,D
NA2845,"Methyl phosphonous dichloride, pyrophoric liquid",6.1,4.2,I,N,D
UN1248,Methyl propionate,3,,II,N,
UN2612,Methyl propyl ether,3,,II,N,
UN1249,Methyl propyl ketone,3,,II,N,
UN2533,Methyl trichloroacetate,6.1,,III,N,
UN1251,"Methyl vinyl ketone, stabilized",6.1,"3,8",I,N,
UN1234,Methylal,3,,II,N,
UN1061,"Methylamine, anhydrous",2.1,,,N,
UN1235,"Methylamine, aqueous solution",3,8,II,N,
UN1233,Methylamyl acetate,3,,III,N,
UN2294,N-Methylaniline,6.1,,III,N,
UN2937,"alpha-Methylbenzyl alcohol, liquid",6.1,,III,N,
UN3438,"alpha-Methylbenzyl alcohol, solid",6.1,,III,N,
UN2397,3-Methylbutan-2-one,3,,II,N,
UN2945,N-Methylbutylamine,3,8,II,N,
UN2534,Methylchlorosilane,2.3,"2.1,8",,N,
UN2296,Methylcyclohexane,3,,II,N,
UN2617,"Methylcyclohexanols, flammable",3,,III,N,
UN2297,Methylcyclohexanone,3,,III,N,
UN2298,Methylcyclopentane,3,,II,N,
NA1556,Methyldichloroarsine,6.1,,I,N,D
UN1242,Methyldichlorosilane,4.3,"8,3",I,N,
UN2301,2-Methylfuran,3,,II,N,
UN2302,5-Methylhexan-2-one,3,,III,N,
UN1244,Methylhydrazine,6.1,"3,8",I,N,
UN2535,4-Methylmorpholine or n-methylmorpholine,3,8,II,N,
UN2461,Methylpentadienes,3,,II,N,
UN2560,2-Methylpentan-2-ol,3,,III,N,
UN2437,Methylphenyldichlorosilane,8,,II,N,
UN2399,1-Methylpiperidine,3,8,II,N,
UN2536,Methyltetrahydrofuran,3,,II,N,
UN1250,Methyltrichlorosilane,3,8,II,N,
UN2367,alpha-Methylvaleraldehyde,3,,II,N,
UN0136,Mines with bursting charge,1.1F,,,N,
UN0137,Mines with bursting charge,1.1D,,,N,
UN0138,Mines with bursting charge,1.2D,,,N,
UN0294,Mines with bursting charge,1.2F,,,N,
NA0276,Model rocket motor,1.4C,,,N,D
NA0323,Model rocket motor,1.4S,,,N,D
UN2508,Molybdenum pentachloride,8,,III,N,
UN2054,Morpholine,8,3,I,N,
UN3483,"Motor fuel anti-knock mixture, flammable",6.1,3,I,N,+
UN1649,Motor fuel anti-knock mixtures,6.1,,I,N,+
UN1334,"Naphthalene, crude or Naphthalene, refined",4.1,,III,N,
UN1650,"beta-Naphthylamine, solid",6.1,,II,N,
UN3411,beta-Naphthylamine solution,6.1,,II,N,
UN3411,beta-Naphthylamine solution,6.1,,III,N,
UN2077,alpha-Naphthylamine,6.1,,III,N,
UN2304,"Naphthalene, molten",4.1,,III,N,
UN1651,Naphthylthiourea,6.1,,II,N,
UN1652,Naphthylurea,6.1,,II,N,
UN1065,"Neon, compressed",2.2,,,N,
UN1913,"Neon, refrigerated liquid (cryogenic liquid)",2.2,,,N,
UN1259,Nickel carbonyl,6.1,3,I,N,
UN1653,Nickel cyanide,6.1,,II,N,
UN2725,Nickel nitrate,5.1,,III,N,
UN2726,Nickel nitrite,5.1,,III,N,
UN1654,Nicotine,6.1,,II,N,
UN3144,"Nicotine compounds, liquid, n.o.s. or Nicotine preparations, liquid, n.o.s",6.1,,I,Y,G
UN3144,"Nicotine compounds, liquid, n.o.s. or Nicotine preparations, liquid, n.o.s",6.1,,II,Y,G
UN3144,"Nicotine compounds, liquid, n.o.s. or Nicotine preparations, liquid, n.o.s",6.1,,III,Y,G
UN1655,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1,,I,Y,G
UN1655,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1,,II,Y,G
UN1655,"Nicotine compounds, solid, n.o.s. or Nicotine preparations, solid, n.o.s.",6.1,,III,Y,G
UN1656,Nicotine hydrochloride liquid or solution,6.1,,II,N,
UN1656,Nicotine hydrochloride liquid or solution,6.1,,III,N,
UN3444,"Nicotine hydrochloride, solid",6.1,,II,N,
UN1657,Nicotine salicylate,6.1,,II,N,
UN1658,Nicotine sulfate solution,6.1,,II,N,
UN1658,Nicotine sulfate solution,6.1,,III,N,
UN3445,"Nicotine sulphate, solid",6.1,,II,N,
UN1659,Nicotine tartrate,6.1,,II,N,
UN3218,"Nitrates, inorganic, aqueous solution, n.o.s.",5.1,,II,Y,
UN3218,"Nitrates, inorganic, aqueous solution, n.o.s.",5.1,,III,Y,
UN1477,"Nitrates, inorganic, n.o.s.",5.1,,II,Y,
UN1477,"Nitrates, inorganic, n.o.s.",5.1,,III,Y,
UN1826,"Nitrating acid mixtures, spent with more than 50 percent nitric acid",8,5.1,I,N,
UN1826,Nitrating acid mixtures spent with not more than 50 percent nitric acid,8,,II,N,
UN1796,Nitrating acid mixtures with more than 50 percent nitric acid,8,5.1,I,N,
UN1796,Nitrating acid mixtures with not more than 50 percent nitric acid,8,,II,N,
UN2031,"Nitric acid other than red fuming, with at least 65 percent, but not more than 70 percent nitric acid",8,5.1,II,N,
UN2031,"Nitric acid other than red fuming, with more than 20 percent and less than 65 percent nitric acid",8,,II,N,
UN2031,Nitric acid other than red fuming with not more than 20 percent nitric acid,8,,II,N,
UN2032,"Nitric acid, red fuming",8,"5.1,6.1",I,N,+
UN2031,"Nitric acid other than red fuming, with more than 70 percent nitric acid",8,5.1,I,N,
UN1660,"Nitric oxide, compressed",2.3,"5.1,8",,N,
UN1975,Nitric oxide and dinitrogen tetroxide mixtures or Nitric oxide and nitrogen dioxide mixtures,2.3,"5.1,8",,N,
UN3273,"Nitriles, flammable, toxic, n.o.s.",3,6.1,I,Y,G
UN3273,"Nitriles, flammable, toxic, n.o.s.",3,6.1,II,Y,G
UN3276,"Nitriles, liquid, toxic, n.o.s.",6.1,,I,Y,G
UN3276,"Nitriles, liquid, toxic, n.o.s.",6.1,,II,Y,G
UN3276,"Nitriles, liquid, toxic, n.o.s.",6.1,,III,Y,G
UN3439,"Nitriles, solid, toxic, n.o.s.",6.1,,I,Y,G
UN3439,"Nitriles, solid, toxic, n.o.s.",6.1,,II,Y,G
UN3439,"Nitriles, solid, toxic, n.o.s.",6.1,,III,Y,G
UN3275,"Nitriles, toxic, flammable, n.o.s.",6.1,3,I,Y,G
UN3275,"Nitriles, toxic, flammable, n.o.s.",6.1,3,II,Y,G
UN3219,"Nitrites, inorganic, aqueous solution, n.o.s",5.1,,II,Y,G
UN3219,"Nitrites, inorganic, aqueous solution, n.o.s",5.1,,III,Y,G
UN2627,"Nitrites, inorganic, n.o.s.",5.1,,II,Y,G
UN2307,3-Nitro-4-chlorobenzotrifluoride,6.1,,II,N,
UN0147,Nitro urea,1.1D,,,N,
UN1661,Nitroanilines (o-; m-; p-;),6.1,,II,N,+
UN2730,"Nitroanisole, liquid",6.1,,III,N,
UN3458,"Nitroanisoles, solid",6.1,,III,N,
UN1662,Nitrobenzene,6.1,,II,N,+
UN2305,Nitrobenzenesulfonic acid,8,,II,N,
UN0385,5-Nitrobenzotriazol,1.1D,,,N,
UN2306,"Nitrobenzotrifluorides, liquid",6.1,,II,N,
UN3431,"Nitrobenzotrifluorides, solid",6.1,,II,N,
UN2732,"Nitrobromobenzenes, liquid",6.1,,III,N,
UN3459,"Nitrobromobenzenes, solid",6.1,,III,N,
UN0340,"Nitrocellulose, dry or wetted with less than 25 percent water (or alcohol), by mass",1.1D,,,N,
UN2557,"Nitrocellulose, with not more than 12.6 percent nitrogen, by dry mass mixture with or without plasticizer, with or without pigment",4.1,,II,N,
UN3270,"Nitrocellulose membrane filters, with not more than 12.6% nitrogen, by dry mass",4.1,,II,N,
UN0343,"Nitrocellulose, plasticized with not less than 18 percent plasticizing substance, by mass",1.3C,,,N,
UN2059,"Nitrocellulose, solution, flammable with not more than 12.6 percent nitrogen, by mass, and not more than 55 percent nitrocellulose",3,,I,N,
UN2059,"Nitrocellulose, solution, flammable with not more than 12.6 percent nitrogen, by mass, and not more than 55 percent nitrocellulose",3,,II,N,
UN2059,"Nitrocellulose, solution, flammable with not more than 12.6 percent nitrogen, by mass, and not more than 55 percent nitrocellulose",3,,III,N,
UN0341,"Nitrocellulose, unmodified or plasticized with less than 18 percent plasticizing substance, by mass",1.1D,,,N,
UN0342,"Nitrocellulose, wetted with not less than 25 percent alcohol, by mass",1.3C,,,N,
UN2556,"Nitrocellulose with alcohol with not less than 25 percent alcohol by mass, and with not more than 12.6 percent nitrogen, by dry mass",4.1,,II,N,
UN2555,"Nitrocellulose with water with not less than 25 percent water, by mass",4.1,,II,N,
UN3434,"Nitrocresols, liquid",6.1,,III,N,
UN2446,"Nitrocresols, solid",6.1,,III,N,
UN2842,Nitroethane,3,,III,N,
UN1066,"Nitrogen, compressed",2.2,,,N,
UN1977,"Nitrogen, refrigerated liquid cryogenic liquid",2.2,,,N,
UN2451,Nitrogen trifluoride,2.2,5.1,,N,
UN2421,Nitrogen trioxide,2.3,"5.1,8",,N,
UN0143,"Nitroglycerin, desensitized with not less than 40 percent non-volatile water insoluble phlegmatizer, by mass",1.1D,6.1,,N,
UN3343,"Nitroglycerin mixture, desensitized, liquid, flammable, n.o.s. with not more than 30 percent nitroglycerin, by mass",3,,,Y,
UN3357,"Nitroglycerin mixture, desensitized, liquid, n.o.s. with not more than 30% nitroglycerin, by mass",3,,II,Y,
UN3319,"Nitroglycerin mixture, desensitized, solid, n.o.s. with more than 2 percent but not more than 10 percent nitroglycerin, by mass",4.1,,II,Y,
UN3064,"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 5 percent nitroglycerin",3,,II,N,
UN0144,"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 10 percent nitroglycerin",1.1D,,,N,
UN1204,Nitroglycerin solution in alcohol with not more than 1 percent nitroglycerin,3,,II,N,
UN0282,"Nitroguanidine or Picrite, dry or wetted with less than 20 percent water, by mass",1.1D,,,N,
UN1336,"Nitroguanidine, wetted or Picrite, wetted with not less than 20 percent water, by mass",4.1,,I,N,
UN1798,Nitrohydrochloric acid,8,,I,N,
UN1261,Nitromethane,3,,II,N,
UN2538,Nitronaphthalene,4.1,,III,N,
UN1663,Nitrophenols (o-; m-; p-;),6.1,,III,N,+
